AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Premis Desc,Weapon Desc,Status Desc,LOCATION,Cross Street,Month
Central,ROBBERY,76.0,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,600    SAN JULIAN                   ST,,05
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",18.0,M,OTHER BUSINESS,,Adult Arrest,1700    MAPLE                        AV,,05
Central,KIDNAPPING,48.0,F,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,4TH,BROADWAY,05
Central,OTHER MISCELLANEOUS CRIME,38.0,M,SIDEWALK,,Invest Cont,3RD                          ST,MAIN                         ST,05
Central,BRANDISH WEAPON,62.0,M,STREET,OTHER KNIFE,Invest Cont,1200 E  6TH                          ST,,05
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,M,STREET,,Adult Arrest,5TH                          ST,SPRING                       ST,05
Central,BURGLARY,92.0,F,SINGLE FAMILY DWELLING,,Invest Cont,400    COTTAGE HOME                 ST,,05
Central,VEHICLE - ATTEMPT STOLEN,58.0,M,STREET,,Adult Arrest,7TH,MAPLE,05
Central,BURGLARY FROM VEHICLE,58.0,M,STREET,,Adult Arrest,7TH,MAPLE                        AV,05
Central,ROBBERY,43.0,M,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,500 S  SAN PEDRO                    ST,,05
Central,BATTERY - SIMPLE ASSAULT,40.0,M,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,9TH,BROADWAY,05
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",46.0,F,STREET,OTHER KNIFE,Invest Cont,600 S  SAN PEDRO                    ST,,05
Central,THEFT PLAIN - PETTY ($950 & UNDER),,M,SIDEWALK,,Invest Cont,100 N  HILL                         ST,,05
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22.0,M,STREET,BOARD,Invest Cont,16TH,MAIN                         ST,06
Central,BATTERY - SIMPLE ASSAULT,28.0,M,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,9TH,SPRING,05
Central,BATTERY - SIMPLE ASSAULT,27.0,M,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,400 S  MAIN                         ST,,05
Central,INTIMATE PARTNER - SIMPLE ASSAULT,19.0,F,RESTAURANT/FAST FOOD,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,11TH                         ST,FIGUEROA                     ST,05
Central,BATTERY WITH SEXUAL CONTACT,59.0,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,600 S  SAN PEDRO,,05
Central,THEFT PLAIN - PETTY ($950 & UNDER),15.0,M,OTHER BUSINESS,,Invest Cont,700 W  7TH                          ST,,05
Central,DOCUMENT FORGERY / STOLEN FELONY,23.0,F,STREET,,Invest Cont,400 S  FIGUEROA                     ST,,05
